站台编号,报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,灞桥车场,灞桥停车场,10904.2354,3419.0534,327,,,,,,,50,20,起点站,是
1,世博园得,世博园得宝门,10903.9511,3419.3487,N,,,,,,,50,20,小站,是
2,读书村北,读书村北,10903.758,3419.678,333,,,,,,,50,20,小站,是
3,世博锦绣,世博园锦绣门,10903.3535,3420.0945,295,,,,,,,50,20,小站,是
4,黄邓村,黄邓村,10902.9482,3420.1599,280,,,,,,,50,20,小站,是
5,康家村,康家村,10902.5982,3420.4488,354,,,,,,,50,20,小站,是
6,奥特莱斯,砂之船奥特莱斯,10902.402,3420.6637,293,,,,,,,50,20,小站,是
7,上桥梓口,上桥梓口村,10902.0982,3420.7638,294,,,,,,,50,20,小站,是
8,宋围村,宋围村,10901.6559,3420.6321,249,,,,,,,50,20,小站,是
9,欧亚浐东,欧亚浐河东路,10900.9624,3420.0675,226,,,,,,,50,30,大站,是
10,浐河西路,浐河西路,10900.7112,3419.9311,246,,,,,,,50,30,小站,是
11,赵村,赵村,10900.0304,3419.9095,270,,,,,,,50,20,小站,是
12,赵村西,赵村西,10859.8112,3419.8759,252,,,,,,,50,20,小站,是
13,大明汽配,大明汽配城,10859.3704,3419.8536,270,,,,,,,50,20,大站,是
14,汽配北门,大明汽配城北门,10859.1261,3419.8575,271,,,,,,,50,30,小站,是
15,永城路东,永城路东段,10858.9538,3419.8642,272,,,,,,,50,30,小站,是
16,永城路西,永城路西段,10858.397,3419.8694,278,,,,,,,50,20,小站,是
17,百花村,百花村,10858.111,3419.875,270,,,,,,,50,20,大站,是
18,三家庄,三家庄,10858.0193,3420.0633,2,,,,,,,50,10,小站,是
19,十一中学,市第十一中学,10857.86101,3420.3027,270,,,,,,,50,20,小站,是
20,长青一路,渭宾路长青一路,10857.6395,3420.2668,187,,,,,,,50,20,小站,是
21,长青二路,渭宾路长青二路,10857.6404,3420.0136,180,,,,,,,50,20,小站,是
22,凤五路口,渭宾路凤城五路,10857.5227,3419.8851,268,,,,,,,50,20,小站,是
23,兴乐园小,兴乐园小区,10857.2587,3419.8862,269,,,,,,,50,20,小站,是
24,开元路口,凤城五路开元路,10856.9361,3419.8898,269,,,,,,,50,20,小站,是
25,未央路口,凤城五路未央路,10856.5477,3419.8233,182,,,,,,,50,20,大站,是
26,尤家庄,尤家庄,10856.5453,3419.6221,186,,,,,,,50,30,小站,是
27,图书馆,图书馆,10856.54,3419.3649,175,,,,,,,50,20,小站,是
28,雅荷花园,雅荷花园,10856.5436,3418.988,182,,,,,,,50,20,小站,是
29,城北客运,城北客运站,10856.1283,3418.6985,271,,,,,,,50,30,大站,是
30,文景立交,文景路立交,10855.8829,3418.7036,272,,,,,,,50,30,小站,是
31,中联家居,中联家居,10855.5781,3418.7051,274,,,,,,,50,30,小站,是
32,朱宏路,朱宏路,10855.2137,3418.6769,89,,,,,,,50,10,小站,是
33,明光立交,明光路立交南,10855.5416,3418.3578,144,,,,,,,50,20,小站,是
34,方新路口,明光路方新路口,10855.6103,3418.0511,186,,,,,,,50,20,小站,是
35,永新路口,龙首永新路口,10855.6096,3417.5912,182,,,,,,,50,20,小站,是
36,永新南口,永新路南口,10855.6102,3417.3861,184,,,,,,,50,20,小站,是
37,工农北口,工农路北口,10855.6797,3417.1707,272,,,,,,,50,20,小站,是
38,兴中路,兴中路,10855.3594,3417.1878,276,,,,,,,50,20,小站,是
39,丰禾路,丰禾路,10855.1653,3417.0529,181,,,,,,,50,30,终点站,是
